weapon,type,别名,外文名,相关型号,速度参数,范围参数,尺寸参数,质量参数,数量参数,级别参数,时间,国家,相关的人与机构,作用,现状,相关地点,特点,装备
好奇号火星探测器,空间探测器,,外文名:Curiosity;,,,,,,,,着陆时间:2012年8月6日 13:30(GMT+8);发射时间:2011年11月26日 23:02(GMT+8);,,,,,着陆地点:火星盖尔陨石坑;发射地点:美国佛罗里达州卡纳维拉尔角;,,
火星2C号,空间探测器,,英文名:Mars 2C;,,,,,质量:4850 公斤;,,,发射时间:1969年4月2日;,所属国家:苏联;,,目的星球:火星;,,,,
火星探测计划,空间探测器,,外文名:Mars exploration program;,,,,,,,,首次着陆时间:1975年;首次探测时间:1956年;,首次探测国家:美国;,,,,,,
火星气候探测器,空间探测器,,外文名:Mars Climate Orbiter;,,,,宽度:1.6米;高度:2.1米;,,,,,,,,,,,
火星1C号,空间探测器,,英文名:Mars 1C;,,,,,质量:893.5 公斤;,,,发射时间:1962年10月24日;,所属国家:苏联;,,目的星球:火星;,,,,
火星2D号,空间探测器,,英文名:Mars 2D;,,,,,质量:4650 公斤;,,,发射时间:1971年5月10日;,所属国家:苏联;,,目的星球:火星;,,,,
火星2B号,空间探测器,,外文名:Mars 2B;,,,,,质量:4850 公斤;,,,发射时间:1969年3月27日;,所属国家:苏联;,,,,,,
火星8号,空间探测器,,英文名:Mars 8;,,,,,质量:含燃料时重6180公斤；不含燃料为3159公斤;,,,发射时间:1996年11月16日;,所属国家:苏联;,,目的星球:火星;,,,,
弗伯斯1号,空间探测器,,,,,,,,,,,,,,,,,
海盗号,空间探测器,,,,,,,,,,,,旅行者:1970年代;,,,,,
海盗号火星探测器,空间探测器,,,,,,长:5.08米;,重:3530千克;,,,,,,,,,,
洞察力火星探测器,空间探测器,,,,,,,,,,,,,,,,,
ExoMars,空间探测器,,,,,,,,,,,,设计:可以在火星表面自动导航;,,,,,
月球4号,空间探测器,,外文名:Луна??-4;,,,,,,,,发射时间:1963年4月2日;,发射国家:苏联;,,,,发射地点:拜科努尔航天发射场;,,
月球5号,空间探测器,,外文名:The moon 5;,,,,,,,,发射时间:1965年5月9日世界时07:55:00;,,,,,,,
月球6号,空间探测器,,外文名:Luna 6;,,,,,,,,发射时间:1965年6月8日世界时07:41:00;,,,,,发射地点:拜科努尔航天发射场;,,
月球8号,空间探测器,,,,,,,,,,,发射国度:前苏联;,,,,发射地点:拜科努尔航天发射场;,,
尤里西斯号,空间探测器,,,,,,,,,,发射日期:1990年10月6日;,所属国家:美国;,制造商:多尼尔(Dornier)公司;,,,,,
月球22号,空间探测器,,,,,,,,,,发射时间:1974年5月29日世界时08:57:00;,,,,,,,
执行撞月使命的探测器,空间探测器,,外文名:Луна-2;,,,,,,,,发射时间:1959年9月12日世界时06:39:42;,,,,,,,
月球16号,空间探测器,,,,,,,"质量:5,600 千克;",,,发射日期:1970年9月12日13:25:53;着陆日期:1970年9月20日05:18(UTC);,国家:苏联;,,,,,,
月球3号,空间探测器,别名:月球3号;,外文名:Луних?-3;,,,,,,,,发射日期:1959年10月4日;,,,,,,,
愿望号,空间探测器,,,,,,,,,,,,,,,,,
月球7号,空间探测器,,,,,,,,,,发射时间:1965年10月4日世界时07:55:00;硬着陆时间:1965年10月7日世界时22:08:00;,,,,,发射地点:拜科努尔航天发射场;,,
幽灵一号探测器,空间探测器,,外文名:Ghost one detector;,,,探测深度:15米;,,,,,,,,,,,,
月球1B号,空间探测器,别称:月球E-1 2号;,外文名:Луна-1B;,,,,,,,,发射时间:1958年10月11日;,,,,,,,
月球4C号,空间探测器,,,,,,,,,,发射时间:1963年;,发射国家:苏联;,,,,,,
萤火一号火星探测器,空间探测器,,,,,,尺寸:750×750×600 mm;,,,,发射日期:2011年11月9号;,,,,,,,
希望号火星探测器,空间探测器,,,,,,,,,,发射日期:1998年7月3日;,所属国家:日本;,,,,,,
行星探测器轨道,空间探测器,,,,,,,,,,,,,,,,,
先驱者计划,空间探测器,,,,,,长:2.9米;,重:270千克;,,,发射时间:1972年3月;,,,,,,,
行星和行星际探测器,空间探测器,,外文名:planetary and interplanetary probe;,,,,,,,,,,,,,,显著特点:自主导航能力;性质:对天体探测的主要工具;,
太阳过渡区与日冕探测器,空间探测器,,外文名:Transition Region and Coronal Explorer;,,,,,,,,发射时间:1998年4月;,,,,,,,
先驱者十一号探测器,空间探测器,,,,,,,,,,发射时间:1973年4月6日;,,,,,发射地点:佛罗里达州的卡纳维拉尔角;,,
晓号金星探测器,空间探测器,,日文名:暁;外文名:dawn或daybreak;,,,,,重量:约640千克;,,,发射时间:日本时间2010年5月21日6点58分;,隶属国家:日本;,,,,发射地点:日本鹿儿岛县种子岛宇宙中心;,,
水手1号探测器,空间探测器,,外文名:Mariner 1;,,,,,质量:200千克;,,,发射时间:1962年7月22日;结束时间:1962年7月22日;,,,,,,,
水手6号探测器,空间探测器,,外文名:Mariner 6;,,,,,质量:411.8 千克;,,,发射时间:1969年2月24日;,研发国家:美国;,,,,,,
水手3号探测器,空间探测器,,外文名:Mariner 3;,,,,,质量:260.8 千克;,,,发射时间:1964年11月5日;,开发国家:美国;,,,,,,
水手2号探测器,空间探测器,,外文名:Mariner 2;,,,,,质量:202.8千克;,,,发射时间:1962年8月27日;结束时间:1963年1月3日;,,,,,,,
深空探测器[宇宙探测器],空间探测器,,,,,,,,,,,,,主要目的:了解太阳系的起源、演变和现状;,,,,
隼鸟2号小行星探测器,空间探测器,,,,,,,,,,着陆时间:2019年2月22日;发射时间:2014年12月3日;,,,,,,,
探测器L1S-2号,空间探测器,,,,,,,重:6900公斤;,,,,,制造者:苏联;,目的:月球;,,,,
徘徊者4号,空间探测器,,外文名:Ranger 4;,,,,,,,,,,,,,,,
皮埃尔·奥格天文台,空间探测器,,,,,,,,,,,,,,,,,
徘徊者勘测者探测器,空间探测器,,外文名:Ranger probe;,,,,,质量:366千克;,,,时间:1961年8月～1965年3月;,,,,,,,
徘徊者1号,空间探测器,,外文名:Ranger 1;,,,,,,,,发射时间:1961年8月23日;,,,辅助目的:研究行星际空间内颗粒和场的性质;,,发射地点:佛罗里达州卡纳维拉尔角空军基地;,,
徘徊者9号,空间探测器,,外文名:Ranger 9;,,,,,质量:367千克;,,,着陆时间:1965年3月24日;发射时间:965年3月21日世界时21:37:00;,发射国家:美国;,,,,着陆地点:东经357.613度 南纬12.828度;发射地点:佛罗里达州卡纳维拉尔角空军基地;,,
起源号探测器,空间探测器,,外文名:Genesis;,,,,,,,,发射时间:2001年;,开发国家:美国;,,,,,,
圣杯月球探测器,空间探测器,,,,,,,,,,发射时间:2010年9月10日;,所属国家:美国;,主要制造商:美国宇航局;,目的星球:月球;,,发射地点:佛罗里达州卡纳维拉尔角空军基地;,,
日本隼鸟小行星探测器,空间探测器,,外文名:Hayabusa;,型号:第20号科学卫星MUSES-C;,,,,,,,发射时间:2003年5月9日;,国家:日本;,,,,,,
深空1号探测器,空间探测器,,外文名:Deep Space 1;,,,,,,,,发射时间:1998年10月24日;,,,,,,,
徘徊者8号,空间探测器,,外文名:Ranger 8;,,,,,,,,发射时间:965年2月17日世界时17:05:00;硬着陆时间:1965年2月20日世界时09:57:36;,,,,,发射地点:佛罗里达州卡纳维拉尔角空军基地;,,
木卫二-木星系任务,空间探测器,,,,,,,,,,,,,,,,,
MAVEN航天器,空间探测器,,,,,,,,,,,,,,,,,
小猎犬2号,空间探测器,,,,,,,,,,,,,发射目的:搜寻火星生命信息;,,,,
美国凤凰号火星探测器,空间探测器,,,,,,,,,,发射时间:2007年8月4日;,产地:美国;,,,,发射地点:肯尼迪航天中心17A发射台;,,
凌日系外行星勘测人造卫星,空间探测器,别称:行星猎手;简称:TESS;,外文名:Transiting Exoplanet Survey Satellite;,,,,,,,,发射时间:2018年4月19日6:51（北京时间）;,所属国家:美国;,,,,,,
旅行者号探测器,空间探测器,,外文名:Voyager;,,,,,,,,发射时间:1977年9月5日和8月20日;,制造国家:美国;,,,,,,
旅行者2号探测器,空间探测器,,外文名:Voyager 2;,,,,,质量:721.9Kg;,,,发射时间:1977年8月20日;,制造国家:美国;,,,,,,
金星2号,空间探测器,别称:南瓜;,,,,,,,,,,,,目:葫芦目;,,,,
金星5号,空间探测器,,,,,,,质量:1130公斤;,,,发射时间:1969年1月5日;,所属国家:苏联;,,目的星球:金星;,,,,
金星7号,空间探测器,,,,,,,,,,发射时间:1970年8月17日;,国家:前苏联;,,,,,,
精神号火星探测器,空间探测器,其他译名:勇气号;,外文名:Spirit;,,,,,,,,登陆时间:2004年1月4日;发射时间:2003年6月10日;,所属国家:美国;,,,,发射地点:卡纳维拉尔角空军基地;,,
火卫一勘探者,空间探测器,,,,,,尺寸:相当于一个咖啡桌;,,,,,,,,,,,
火星2号,空间探测器,,,,,,,,,,时间:1924年;,,,,,,属性:科学;,
火星极地着陆者,空间探测器,,,,,,,,,,时间:1999年1月;,,发射者:美国;,,,,,配备:深空二号实验室;
火星3号,空间探测器,,外文名:Марс-3;,,,,,,,,发射时间:1971年;,国家:苏联;,,,,,属性:火星探测计划的探测船;,
火星探测器,空间探测器,,外文名:Mars probe;,,,,,,,,,,实施者:美国，俄罗斯，欧洲，中国，印度;,,,,,
海洋一号B卫星,科学卫星,,,,,轨道高度:798km;,,,,,发射时间:2007年4月11日11时2分;,,研制单位:中国空间技术研究院（航天五院）;,用途:用于探测叶绿素、悬浮泥沙等要素监测;,,,,
NOAA气象观测卫星,科学卫星,,外文名:NOAA satellite;,,,轨道高度:870千米和833千米;,,,,,,,所属:美国国家海洋大气局;,,,,,
天绘一号,科学卫星,,外文名:Mapping Satellite-1;,,,轨道高度:500km;,,,,,发射时间:2010年8月24日;,,运营单位:中国天绘卫星中心;,卫星用途:科学研究、国土普查、地图测绘等;,,发射地点:酒泉卫星发射中心;,,
ENVISAT对地观测卫星,科学卫星,,,,,,,,,,发射时间:2002年3月1日;,,,,,,,
高层大气研究卫星,科学卫星,简称:UARS;,外文名:Upper Atmosphere Research Satellite;,,,,,,,,时间:1991年9月15日;,,,,,,,
遥感卫星十三号,科学卫星,,,,,,,,,,发射时间:2011-11-30;,,总设计师:陈筠力;,,,发射地点:太原卫星发射中心;,,
隐形卫星“天基监视系统”卫星,科学卫星,,外文名:SBSS;,,,,,,,,,国家:美国;,,,,,,
Cartosat-2B印度遥感卫星,科学卫星,,,,,,,重量:660磅;,,,时间:2010年7月12日;,,,,,,,
实践十一号03星,科学卫星,,,,,,,,,,发射时间:2011年7月6日12时28分;,,,用途:开展空间科学与技术试验;,,,,
低轨道卫星系统,科学卫星,,外文名:LEO;,,,,,,,,,,,,,,特点:路径损耗小;,
海洋二号卫星,科学卫星,,外文名:HY-2;,,,,,,,,发射时间:2011年8月16日6时57分;,,研制单位:航天科技集团公司;,,,发射地点:太原卫星发射中心;,,
Landsat-7,科学卫星,,外文名:Landsat-7;,,,,直径:2.8米;,重量:约2200千克;,,,退役时间:2013年5月;发射时间:1999年4月15日;,,,,,,,
遥感卫星八号,科学卫星,,,,,,,,,,发射时间:2009年12月13;,,,,,,,
实践十一号04星,科学卫星,,,,,,,,,,发射时间:2011年8月18日17时28分;,,,,,发射地点:酒泉卫星发射中心;,,
海洋监视卫星,科学卫星,,外文名:Marine surveillance satellite;,,,,,,,,,,,,,,,
心宿二中微子望远镜,科学卫星,简称:ANTARES;,,,,,,,,,,,,,,,属性:天体物理;,
实践五号卫星,科学卫星,,外文名:SJ-5;,,,,,重量:300kg;,,,研制时间:两年;发射时间:1999年5月10日;,,研制单位:中国空间技术研究院;,,,,,
希望一号卫星,科学卫星,代号:XW-1;,,,,,,,,,发射时间:北京时间2009年12月15日;,,,,,,,
宇宙1号太阳能测试航天器,科学卫星,,,,,,,,,,发射时间:2005年;,,,,,,,
中巴地球资源卫星01星,科学卫星,,外文名:CBERS-01;,,,,,,,,发射时间:1999年10月14日;,,,,,,,
实践八号卫星,科学卫星,,外文名:Shijian-8 breeding satellite;,,,,,,,,,制造国家:中国;,,用途:航天育种试验和研究;,,,,
脉冲星导航试验卫星,科学卫星,,,,,,,,,,发射时间:2016年11月10日7时42分;,,研发机构:中国航天科技集团第五研究院;,,,,,
高分一号卫星,科学卫星,,外文名:GF-1;,,,轨道高度:645km（标称值）;,,,,,发射时间:2013年4月26日;,所属国家:中华人民共和国;,研制单位:东方红卫星有限公司;,,,发射地点:酒泉卫星发射中心;,,
雨燕卫星,科学卫星,,外文名:Swift Gamma-Ray Burst Mission;,,,,,,,,,所属国家:美国;,,,,,,
红外线太空天文台,科学卫星,,,,,,,,,,发射时间:1995年11月17日;,所属国家:法国;,制造商:法国宇航公司;,,,,,
爱因斯坦卫星,科学卫星,原名:“高能天文台2号”;,外文名:HEAO-2;,,,,,,,,,,,,,,,
伦琴卫星,科学卫星,,外文名:Roentgen satellite;,,,,,,,,报废时间:1999年12月12日;坠落时间:2011年10月23日;,研制国家:德国、美国、英国联合研制;,,,,坠落地点:孟加拉湾;发射地点:美国卡纳维拉尔角;,,
乌呼鲁卫星,科学卫星,别称:小型天文卫星1号;,,,,,,,,,发射时间:1970年12月12日;,,,,,,,
XMM-牛顿卫星,科学卫星,,,,,,"高度:7,000-114,000公里;",质量:3800公斤;,,,发射日期:1999年12月10日;,,,,,发射地点:库鲁发射场;,,
朱雀卫星,科学卫星,原名:Aso-E2;,外文名:Suzaku;,,,,,重:1680公斤;,,,,,研制机构:日本宇宙航空研究开发机构 等;,,,,,
红外天文卫星ASTRO-F,科学卫星,,,,,,,,,,发射时间:2006年2月22日;,国家:日本;,,用途:红外天文学;,,,,
天文远地卫星,科学卫星,,,,,,"高度:数百公里,但一般不低于400公里;",,,,,,,,,,,
依巴谷卫星,科学卫星,,外文名:High Precision Parallax Collecting Satellite;,,,,,,,,发射时间:1989年8月8日;,,发射单位:欧洲航天局;,,,,,
钱德拉X射线天文台,科学卫星,,外文名:Chandra X-ray Observatory;,,,,,,,,发射时间:1999年;,发射国家:美国;,,,,,,
斯皮策太空望远镜,科学卫星,,外文名:Spitzer Space Telescope;,,,,长度:4.45米;,重量:950千克;,,,发射时间:2003年8月;,,,,,,,
康普顿伽玛射线天文台,科学卫星,缩写名:CGRO;,外文名:Compton Gamma Ray Observatory;,,,轨道高度:450 公里（280英里）;,,质量:17000公斤（37500磅）;,,,发射日期:1991年4月5日;坠落日期:2000年6月4日;,,,,,,,
普朗克卫星,科学卫星,别称:普朗克巡天者;,外文名:Planck;,,,,,,,,发射时间:2009年5月14日;,,发送者:欧洲航天局(ESA);,,,,,
轨道天文台,科学卫星,,,,,,,,,,,,,,,,,
哈勃空间望远镜[天文仪器],科学卫星,,外文名:Hubble Space Telescope;,,,运行高度:距离地面约575公里上空;,,"重量:11,000 千克（24,250 磅）;",,,发射时间:1990年4月24日;,,,,,发射地点:美国肯尼迪航天发射中心;,,
费米太空望远镜,科学卫星,别称:恩里科·费米;,外文名:NASA;,,,,,,,,升空时间:2008年6月;,所属国家:美国;,,,,,,
伽玛射线轻型探测器,科学卫星,,"外文名:Aso‐rivelatoreGammaaImmaginiLEggero,AGILE;",,,,,,,,,,发射单位:是意大利太空局;,用途:天文卫星;,,,,
广域红外线巡天探测卫星,科学卫星,,"外文名:Wide-field Infrared Survey Explorer, WISE;",,,,,,,,发射时间:2009年12月14日;,,,,,,,
太阳神号,科学卫星,,,,,,,,,,发射时间:1974年12月10日;,发射国家:联邦德国与美国;,,作用:研究太阳、太阳-行星关系等;,,,,
阳光卫星,科学卫星,,,,,,,,,,,,,,,,,
尤利西斯号,科学卫星,,外文名:Ulysses;,,,,,,,,,,研制单位:美国宇航局和欧洲航天局联合研制;,,,发射地点:卡纳维拉尔角;,,
GOCE卫星,科学卫星,,,,,轨道高度:295km;,,,,,,,,,,,,
欧洲环境卫星,科学卫星,,外文名:EnvironmentalSatellite，EnviSat;,,,,,,,,退役时间:2012年5月9日;发射时间:2003年3月1日;,,,,,,,
日地关系天文台,科学卫星,别名:日地关联天文台;,外文名:Solar TErrestrial RElations Observatory;,,,,,,,,发射时间:2006年;,,,,,,,
日出卫星,科学卫星,原名:Solar-B;,外文名:Hinode;,,,,,,,,时间:2006年9月22日;,,研制:日本、英国和美国;,目的:观测太阳活动，拍摄太阳图片;,,地点:日本九州;,,
太阳极大期任务卫星,科学卫星,,,,,,,,,,返回时间:1989年12月2日;发射时间:1980年2月14日;,,,目的:研究太阳现像，特别是太阳耀斑;,,,,
太阳和太阳风层探测器,科学卫星,简称:SOHO;,外文名:Solar and Heliospheric Observatory;,,,,,质量:610公斤;,,,发射时间:1995年;,所属国家:美国;,,目的星球:太阳;,,,,
太阳动力学天文台,科学卫星,,外文名:Solar Dynamics Observatory(SDO);,,,,,,,,,,所属单位:美国宇航局（NASA）;,,,运行地点:运行在36000千米;,,
美国TIROS-1气象卫星,科学卫星,,外文名:TIROS-1;,,,,,,,,发射时间:1960年4月1日;,发射国家:美国;,,,,,,
TIROS-1,科学卫星,,外文名:TIROS-1;,,,,,,,,,,,,,,性质:第一次发射成功的气象卫星;,
先锋2号,科学卫星,,,,,,,,,,,,,,,,,
向日葵8号气象卫星,科学卫星,,外文名:気象衛星ひまわり8;,,,,,质量:3500kg;,,,发射时间:2014年10月7日;,,主制造商:日本宇宙航空研发机构;,卫星用途:气象观测;,,,,
光明星3号,科学卫星,,,,,,,,,,时间:1998年8月;,国家:朝鲜;,,,,,性质:人造卫星;,
FY-3A卫星,科学卫星,,外文名:qwewqewq;,,,轨道高度:836.4km;,,,,,发射时间:2008;,,,,,,所属性质:卫星;,
风云二号H星,科学卫星,,,,,,,,,,发射时间:2018年6月5日21时07分;,,,,,,,
风云二号08星,科学卫星,,,,,,,,,,,,,,,,,
风云四号01星,科学卫星,,外文名称:And number fourmeteorological satellite;,,,轨道高度:36000千米;,,,,,首颗发射时间:2016年12月11日零时11分;,,总设计师:董瑶海;研发单位:上海航天技术研究院（航天八院）;,,,发射地点:西昌卫星发射中心;,,
风云二号06星,科学卫星,,,,,,,,,,发射时间:2008年12月;,研制国家:我国自行研制;,,,,发射地点:西昌卫星发射中心;,性质:风云二号C、D星的后续星;,
FY-3B卫星,科学卫星,,,,,,,,,,发射时间:2010年11月5日;,,,,,,,
风云1C,科学卫星,,外文名:FY—1C;,,,,长:2.02M;宽:2M;高:2.215M;,,,,发射时间:1999年5月10日;,,,,,,,
GPS全球卫星定位系统,卫星定位系统,简称:GPS;,外文名:GPSCalculator;,,,,,,,,,,,,,,特点:全天候、实时性;,
北斗卫星导航试验系统,卫星定位系统,别称:双星定位系统;,外文名:Beidou satellite navigation test system;,,,,,,,,发射时间:2000年10月31日和12月21日;,,,,,,,
印度区域导航卫星系统,卫星定位系统,,外文名:无;,,,,,,,,,,,,,,,
美国GPS卫星导航系统,卫星定位系统,,,,,,,,数量:由24颗卫星组成;,,,,,用途:军民两用;,,,,
FB-1战斗机,卫星定位系统,,,,最大飞行速度:254千米每小时;飞行速度:亚音速;,最大航程:628千米;,机高:2.49米;翼展:9.75米;机长:7.14米;,"空重:878千克;最大起飞重量:1,286千克;",乘员:1人;,,服役时间:1925年12月1日;首飞时间:1923年4月29日;,,生产单位:波音公司;,,,,,气动布局:双翼;发动机:一台寇蒂斯D-12D“V型”（Vee）发动机;发动机数量:单发;
GPS全球定位系统,卫星定位系统,,外文名:Global Positioning System;,,,,,,,,,,,,,,,
东方联星,卫星定位系统,,外文名:OLinkstar;,,,,,,,,,,,,,,,
寇蒂斯HS系列,卫星定位系统,,,,最大飞行速度:132千米每小时;飞行速度:亚音速;,最大航程:827千米;,机高:4.48米;翼展:22.57米;机长:11.88米;,"空重:1,950千克;最大起飞重量:2,918千克;",乘员:2人;,,首飞时间:1917年 年初;,,研发单位:寇蒂斯公司;,,,,,气动布局:双翼;发动机:一台自由12发动机;发动机数量:单发;
全球导航卫星系统,卫星定位系统,简称:GNSS;,外文名:Global Navigation Satellite System;,,,,,,,,,,筹建单位:欧洲空间局;,,,,,
格洛纳斯,卫星定位系统,简称:GLONASS;,,,,,,,,,,,,,,,,
准天顶卫星系统,卫星定位系统,,外文名:Quasi-Zenith Satellite System;,,,,,,,,发射时间:2018年3月;,,,卫星用途:兼具导航定位，通信和广播功能;,,,,
北斗授时,卫星定位系统,,,,,,,,,,,,,,,,,
北斗二号卫星,卫星定位系统,,,,,,,,,,,,,,,,,
伽利略卫星导航系统,卫星定位系统,,外文名:Galileo satellite navigation system;,,,,,,,,运营时间:2016年12月15日;,,,,,,,
苍穹一号,空间站,,,,,,,,,,启动时间:2010年10月;,,,,,,属性:中国载人空间站的名称;,
国际空间站[一项国际太空合作计划],空间站,,外文名:International Space Station;,,,,长度:51米;宽度:109 米;,"质量:369,914公斤;",,,发射日期:1998年11月20日;,,制造商:多国合作;,,,近地点:379.7千米;远地点:403.8千米;发射地点:哈萨克斯坦，拜科努尔；佛罗里达州，肯尼迪航天中心;,,
和平号空间站,空间站,,外文名:俄语：Мир；英语：Mir;,,,,,,,,建造时间:1976年2月17日;坠毁时间:2001年3月23日;停用时间:1999年8月28日;,,,,,,,
空间站,空间站,别名:太空站、航天站;,外文名:space station;,,,,,,,,,,,,,,结构特点: 体积比较大，结构复杂;,
和平号空间站核心舱,空间站,,,,,,,"质量:20,400 千克;",,,发射时间:2000年;,,,,,,,
礼炮1号空间站,空间站,,,,,,长度:15.8 米;,,,,,,,,,,,
前苏联礼炮号空间站,空间站,,,,,,总长:约12.5米;,,,,时间:自1971年4月19日至1982年4月11日;,国家:苏联;,,,,,,
量子2号空间站,空间站,,外文名:Quantum-II/2;,,,,,,,,,,,,,,,
量子1号,空间站,,外文名:Quantum 1;,,,,,,,,,,,,,,,
礼炮计划,空间站,,,,,,,,,,,,,,,,,
礼炮1号,空间站,,外文名:Салют-1;,,,,,,,,返回时间:1971年10月11日;任务时间:175天;发射时间:1971年4月19日01:40:00 UTC;,,,,,近地点:200千米;远地点:222千米;发射地点:拜科努尔航天发射场;,,
水下空间站,空间站,,外文名:shuixiakongjianzhan;,,,,,,,,,国家:俄罗斯;,,,,,,
水晶宫空间站,空间站,,外文名:Crystal Palace Space Station;,,,,,,,,,,,,,,性质:虚拟物品;,
深空门户,空间站,,外文名:Deep space Gateway;,,,,,,,,,,,,,,,
天和一号,空间站,,,,,,,,,,发射时间:2018年前后;,,,,,,,
旋转空间站,空间站,,外文名:Rotating station;,,,,,,,,,,,,,,,
宇宙空间站[航天站],空间站,,外文名:Space station;,,,,,,,,,,,,,,,
中国载人空间站工程,空间站,,,,,,,,,,启动时间:2010年;,属于国家:中国;,,,,,,
中国空间站,空间站,,,,,轨道高度:400公里;,,,,,建成时间:2022年前后;,所属国家:中华人民共和国;,,,,,,
和谐号节点舱,空间站,,外文名:Harmony;,,,,,,,,时间:2007年10月23日;,,,,,,属性:国际空间站的一个组件;,
节点舱3,空间站,,,,,,,,,,发射时间:2009年或2010年;,,,,,,特点:包含最先进的生命维持系统;,
命运号实验舱,空间站,,,,,,长:28 英尺（9 米）;宽:14 英尺（4 米）;,,,,,,,,,,属性:在轨实验室;,
曙光号功能货舱,空间站,,,,,,,,,,,,,,,,,
团结号节点舱,空间站,,外文名:STS-88;,,,,长:5.47米;直径:4.57米;,"总重量:11,612 公斤;",,,,,所属:美国宇航局;,,,,,
寻求号气密舱,空间站,,外文名:Quest Joint Airlock;,,,,,,,,,,,,,,,
星辰号服务舱,空间站,,外文名:Zvezda;,,,,,,,,,,制造商:俄罗斯科罗勒夫火箭和空间联合体;,,,,,
移动维修系统,空间站,,,,,,,,,,,,,,,,特点:移动;,
圆顶屋,空间站,,,,,,最大直径:2.95米;总高度:1.5米;,,,,,,,,,,,
哥伦布实验舱,空间站,,,,,,直径:4477毫米;,,,,,,,,,,,
可充气通天塔,空间站,,,,,,,,,,,,,,,,,
商业太空站,空间站,,,,,,,,,,时间:2013年;,国家:美国;,,,,,,
鑫诺2大型抗干扰通信广播卫星,通讯卫星,,,,,,,,,,发射时间:2006年10月29日0时20分;,,研制单位:中国空间技术研究院;,,,发射地点:西昌卫星发射中心;,,
DAMB数字节目通信卫星,通讯卫星,,,,,,,,,,,,运营商:北京国信系统科技有限公司;,,,,,
中星2A卫星通信广播卫星,通讯卫星,,,,,,,,,,发射时间:2012年5月26日;,,研制单位:中国空间技术研究院;,,,发射地点:西昌卫星发射中心;,,
国际通信卫星,通讯卫星,,,,,,,,,,,成员国:109个;,,,现状:共有9颗卫星;,,,
楚天卫星广播电台,通讯卫星,,,,,,,,,,开播时间:1989年4月4日;,,,,,,,
尼日利亚通信卫星一号,通讯卫星,,外文名:NigComSat-1;,,,,,,,,发射时间:2007年5月14日;,,研制机构:中国空间技术研究院;,,,,,
亚太七号通信卫星,通讯卫星,,,,,,,,,,,国家:法国;,,,,,,
嫦娥一号卫星,通讯卫星,,外文名:ChangE1;,,发射速度:10.3公里/秒;,,,总重量:2350千克左右;,,,发射时间:2007年10月24日18时05分;撞击时间:2009年3月1日;,所属国家:中国;,,,,发射地点:西昌卫星发射中心;,,
嫦娥二号卫星,通讯卫星,,外文名:Chang'e-2 satellite;,,,,,,,,发射时间:2010年10月1日18时59分57.345秒;,所属国家:中华人民共和国;,研制单位:中国空间技术研究院;总设计师:黄江川;,,,发射地点:西昌卫星发射中心;,,
帕拉帕-D印尼通信卫星,通讯卫星,,,,,,,,,,,,,,,,属性:一颗地球同步轨道卫星;,
鑫诺六号通信卫星,通讯卫星,,,,,,,,,,发射时间:2010年9月5日;,,研制单位:中国空间技术研究院;,,,,,
天链一号01星,通讯卫星,,,,,,,,,,发射时间:2008年4月25日23时35分;,,,,,发射地点:西昌卫星发射中心;,,
委内瑞拉一号通信卫星,通讯卫星,,外文名:无;,,,,,,,,失效时间:2020年3月26日，未达到设计使用寿命;发射时间:2008年10月30日;,,,,,,性质:第一个在轨交付通信卫星合同;,
“亚洲5号”通讯卫星,通讯卫星,,,,,,,重量:3760千克;,,,发射时间:2009年12日3时47分;,,,,,,,
H-200相控阵雷达,雷达,,,,,,,,,,,国家:中国;,,,,,,
FCS-3有源相控阵雷达,雷达,,,,,,天线尺寸:1.6米;,,,,服役时间:2010年;,国家:日本;,,,,,,
346A型有源相控阵雷,雷达,,英文名:346a phased array radar;,,,作用距离:约450公里;,,,,,,国家:中国;,研制单位:南京14所;,,,,,
雪豹E相控阵雷达,雷达,,,,,,,,,,,,,,,,,
地面监视雷达,雷达,,,,,,,,,,,,,,,,特点:战场信息优势。;属性:卫星系统;,
相控阵雷达,雷达,,外文名:Phased Array Radar;,,,,,,,,,,,,,,,
IBIS150型对空目标指示雷达,雷达,,英文名:填写此处;,,,作用距离:填写此处;,,,,,,国家:;,研制单位:填写此处;,,,,,
dwl002反隐身雷达,雷达,,外文名:DWL002 passive detection radar system;,,,,,,,,,,,性能:隐蔽性好、探测距离远等;作用:目标定位、识别和跟踪等;,,,属性:一种反隐身飞机雷达;,
JY-26型警戒雷达,雷达,,英文名称:Type JY-26 Warning radar;,,,,,,,,,国家:中国;,,,,,,
有源电子扫描阵,雷达,简称:AESA;,,,,,,,,,,,,,,,,
舰艇作战指挥自动化系统,作战指挥系统,别称:舰艇战术数据处理系统;,外文名:commandand control;,,,,,,,,,,,,,,特点:武器控制功能;,
电子脉冲弹,电磁炸弹,,外文名:Eleconic pulse;,,,,,,,,,,,,,,,
Packed.Klone.au,网络病毒,,英文名:Packed.Klone.au;,,,,,,,,,,,,,,,
P98M.W97M.Closer.C,网络病毒,,英文名:P98M.W97M.Closer.C;,,,,,,,,,,,,,,病毒属性:宏病毒;,
Backdoor/Huigezi.2007.qm,网络病毒,,外文名:Backdoor/Huigezi.2007.qm;,,,,,,,,,,,,,,,
永恒之蓝WannaCry勒索病毒,网络病毒,,,,,,,,,,时间:2017年5月12日;,,,,,,属性:软件;,
