weapon,别名,时间,国家,特点,作用
图-134双发窄体客机,无,1963年改动完成,苏联,暂无介绍,暂无介绍
空中客车A300-608ST,无,暂无介绍,法国,暂无介绍,暂无介绍
VC-10客机,无,1962年6月29日飞,英国,暂无介绍,暂无介绍
ipstar,无,2005年8月11日发射升空,美国,采用LS-1300S卫星平台,暂无介绍
世博号飞机,无,2006年3月14日签署,中国,暂无介绍,暂无介绍
飞塔防火墙,无,暂无介绍,未知,该系统能够为业务通信提供最佳安全、优秀性能和低总体占用成本,暂无介绍
图-154,无,暂无介绍,苏联,暂无介绍,暂无介绍
麦道DC-1,无,1933年翼展,未知,"DC-1全长18.29米，最大起飞重量7,938千克，最大速度338公里/小时，巡航速度306公里/小时",暂无介绍
麦道MD-80系列客机,无,1980年推出,未知,增大了最大起飞重量与油箱容量,暂无介绍
MRJ[产品],无,2008年3月宣布启动,日本,暂无介绍,暂无介绍
MD-83,无,1984年12月17日试飞,美国,最大起飞重量72575千克,暂无介绍
庞巴迪CRJ-700,无,暂无介绍,未知,暂无介绍,暂无介绍
港龙航空二十周年彩绘飞机,无,暂无介绍,未知,暂无介绍,暂无介绍
彗星客机,无,1949年出厂,英国,暂无介绍,暂无介绍
进步精神号飞机,无,暂无介绍,未知,暂无介绍,暂无介绍
空中客车A350XWB,无,未来取代,法国,暂无介绍,暂无介绍
里尔35,无,暂无介绍,未知,暂无介绍,暂无介绍
3GSM,无,暂无介绍,未知,暂无介绍,暂无介绍
ERJ145,EMB-145“亚马逊”,暂无介绍,巴西,暂无介绍,暂无介绍
菲律宾航空公司,无,2006年12月飞航,菲律宾,暂无介绍,暂无介绍
DC-1,无,暂无介绍,美国,暂无介绍,暂无介绍
CRJ飞机,无,暂无介绍,未知,具有舒适性高、速度快及维护方便的特点,暂无介绍
第五代喷气式客机,无,暂无介绍,美国,采用的技术措施有：安装耗油率更低、排污更小、噪声更低、涵道比更高、推力更大、维护性更好的涡扇发动机，采用超临界翼型或高效亚音速翼型，并不断采用新技术,暂无介绍
BAC1-11客机,无,1960年代研制生产,英国,暂无介绍,暂无介绍
红旗-10防空导弹（HQ-10）,海红旗-10,2008年所知,中国,该型防空导弹采用一体化发射架,暂无介绍
8管300mm舰载火箭炮,无,暂无介绍,未知,火箭炮按照口径顺序排列序号，装备：世昌舰A100火箭炮性能诸元：火箭口径：300毫米火箭长度：7300毫米火箭重量：840公斤弹头：235-500公斤弹药射程：40-100公里            ,暂无介绍
122毫米50管火箭炮,无,暂无介绍,未知,暂无介绍,暂无介绍
ED41型航空深水炸弹,无,暂无介绍,中国,暂无介绍,该弹由直升机、水上飞机或其他固定翼轰炸机携带用于攻击潜艇
RBU-1000型反潜火箭,无,暂无介绍,俄罗斯,暂无介绍,暂无介绍
3200型6管反潜火箭深弹发射装置,无,暂无介绍,未知,后期采用87式发射器和改进型8l式火箭深弹，其射程1.2千米，后期采用87式发射器和改进型81式火箭深弹,暂无介绍
FQF-2500型12管反潜火箭深弹发射装置,无,50年代至80年代,苏联,暂无介绍,暂无介绍
1200型5管反潜火箭深弹发射装置,无,暂无介绍,苏联,暂无介绍,暂无介绍
62式小型深水炸弹系统,无,暂无介绍,苏联,暂无介绍,暂无介绍
“里夫”M舰载防空导弹,无,1980年建造,苏联,暂无介绍,暂无介绍
“施基利”舰空导弹,无,暂无介绍,俄罗斯,使武器射程和拦截掠海导弹的能力有了进一步的提高,暂无介绍
红旗64型舰空导弹,无,暂无介绍,中国,暂无介绍,暂无介绍
海红旗-7舰空导弹,无,1988年仿制,中国,暂无介绍,暂无介绍
红旗-61B舰空导弹,无,1965年9月开始设计,中国,采用半主动寻的制导、 固体火箭发动机、 连续波雷达导引头、半主动引信和制导引信、小型化自动驾驶仪、液压操纵、燃气涡轮发动机、链式战斗部(重40公斤)、单脉冲跟踪与连续波制导雷达、稳定平台、回转式弹库、双联装随动发射架、导弹自动化检测等技术，重量尺寸接近西方早期的“海麻雀”舰空导弹,暂无介绍
海拉姆导弹系统,无,暂无介绍,美国,拉姆结合了导弹的高精度和高炮的灵活性优点,“拉姆”导弹系统，拉姆(RAM)舰空导弹是由美国和德国联合研发的项目，拉姆项目的初衷是为水面舰艇提供高效率、低成本、轻量化的自卫系统，用于补充从海麻雀到密集阵间的火力空白
海军舰空导弹,无,暂无介绍,未知,通常采用中、高空投弹攻击战术，高、中、低空相结合的多层次、多方向同时饱和攻击是通常采用的战术,暂无介绍
M-4弹道导弹,无,1976年开始研制,法国,精度可达309米,M-4弹道导弹是法国第一种携带分导式多弹头的三级固体潜地导弹，精度可达309米，其拥有的核打击能力为M-20导弹的5倍以上，适用于打击地面的软目标和面状目标
3M22锆石高超音速反舰巡航导弹,无,暂无介绍,未知,这型"锆石"反舰导弹在试验中的速度达到了令人匪夷所思的8马赫,暂无介绍
LY-80N舰空导弹武器系统,无,暂无介绍,未知,能够拦截反舰导弹、轰炸机、歼击轰炸机和武装直升机等多种类目标，具有较强的超低空目标拦截能力,LY-80N舰空导弹武器系统用于担负海军舰艇编队中程区域防空和自卫反导作战任务 ，能够拦截反舰导弹、轰炸机、歼击轰炸机和武装直升机等多种类目标，具有较强的超低空目标拦截能力
沙箱反舰导弹,“玄武岩”,暂无介绍,苏联,暂无介绍,暂无介绍
C-101超音速反舰导弹,无,暂无介绍,未知,由于采用了与大推力发射助推器相结合的冲压式空气喷气发动机，C-101反舰导弹（发射重量为1850千克）的飞行速度达到2马赫，同时最大射程达到45千米，装有触发式延时爆炸引信的半穿甲型战斗部重量为300千克,C-101超音速反舰导弹主要用于摧毁在接近海岸线、海峡水域以及航道狭窄水域的大、中型排水量的水面舰只
飞龙7号反舰导弹,无,1980年代开始酝酿,未知,该弹采用类似FL-2的聚能穿甲爆破弹头,暂无介绍
SY-1反舰导弹,无,暂无介绍,未知,翼展：2.41米 战斗部重：510千克 射程：50千米,暂无介绍
鹰击-100远程反舰巡航导弹,无,暂无介绍,中国,其射程估计在550至650千米之间,暂无介绍
鹰击81大型反舰导弹,无,暂无介绍,中国,近年因为被伊朗等国采用而锋头颇健，而C－801K则被伊朗空军的F一4战斗机采用,暂无介绍
SA-N-9舰空导弹,无,暂无介绍,俄罗斯,该弹射程12千米，采用指令制导和主动雷达制导，采用六联装垂直发射装置,SA-N-9舰空导弹是俄罗斯新型近程防空导弹，用于取代SA-N-4舰空导弹
Kh-61红宝石反舰导弹,无,2004年5月宣布研制取得,印度,暂无介绍,暂无介绍
海狮级气垫式导弹巡逻艇,无,暂无介绍,未知,暂无介绍,海狮级气垫式导弹巡逻艇应用于军事，可携带导弹的军事装备
前苏联“冥河”ＳＳ－Ｎ－２舰对舰导弹,无,暂无介绍,苏联,最大射程４２千米，巡航速度为０．９倍音速,暂无介绍
SS-N-12舰对舰导弹,无,暂无介绍,苏联,暂无介绍, SS-N-12主要用于对敌航空母舰和其它大型作战舰进行饱和式打击，以弥补苏联在航空母舰数量上不足的缺点，它是光荣级巡洋舰最重要的对舰武器
安德烈娅·多里亚级巡洋舰,无,暂无介绍,未知,暂无介绍,暂无介绍
AGM-78标准反辐射导弹,无,1966年7月开始研制,美国,暂无介绍,暂无介绍
标准II型中程舰空导弹,无,暂无介绍,美国,暂无介绍,暂无介绍
法国“西北风”舰对空导弹,无,暂无介绍,法国,暂无介绍,法国“西北风”舰对空导弹是一种轻型近程、低空舰载防空导弹武器系统，1987装备部队，用于对付低空飞机、直升机和掠海反舰导弹的攻击
戈里亚级远洋猎雷舰,无,暂无介绍,未知,暂无介绍,暂无介绍
贾马兰号驱逐舰,无,2010年2月19日交付使用,伊朗,暂无介绍,暂无介绍
肯达级导弹巡洋舰,无,暂无介绍,未知,“肯达”级总体上采用长首楼线型,暂无介绍
美国“小猎犬”舰对空导弹,无,暂无介绍,美国,具有全天候、中程、中低空防空能力的舰对空导弹系统,暂无介绍
小猎犬BW-0防空导弹,无,暂无介绍,美国,具有全天候、中程、中低空防空能力的舰对空导弹系统,暂无介绍
小猎犬BW-1防空导弹,无,暂无介绍,美国,暂无介绍,暂无介绍
伊万·罗戈夫级两栖舰,无,暂无介绍,未知,能够参加任何距离和规模的登陆战役,伊万·罗戈夫级两栖舰是一艘远洋登陆舰，主要用于以较小的底坡度，运输登陆队员和战斗装备，在敌方布防或非布防的沿岸地带登陆
英国“海狼”舰对空导弹,无,暂无介绍,未知,暂无介绍,暂无介绍
中国137“福州”号现代级导弹驱逐舰,无,暂无介绍,未知,“ 现代”级驱逐舰准排水量6300 吨 、满载排水量7900 吨具有优良的高速阻力性能有 助于减少舰的升沉,暂无介绍
飞腾-2000反辐射地空导弹（FT-2000）,无,1998年,中国,导弹采用垂直发射方式，起飞重量1300公斤，射程12-100千米,暂无介绍
红旗-64地空导弹（HQ-64）,无,暂无介绍,中国,暂无介绍,暂无介绍
红旗-64防空导弹（HQ-64）,无,暂无介绍,意大利,暂无介绍,暂无介绍
“陆盾”2000(LD2000)型近程防空武器系统,无,2005年2月亮相,中国,暂无介绍,陆盾2000近防炮系统主要用于机场、指挥中心、交通枢纽等重要目标的末段防御，可以有效拦截空地导弹、巡航导弹以及直升机等低空目标，满足人民解放军“新三打三防”的需求
天龙-50防空导弹,无,暂无介绍,美国,天龙-50的主要构成是具有3D功能的目标指示雷达,天龙-50防空导弹系统是北方工业公司一款主要面向市场出口的中程防空导弹系统，主要用于防卫地面重要目标免遭空中打击
长剑-100超音速巡航导弹,无,暂无介绍,未知,其最大特点是射程远,暂无介绍
红旗-22中远程导弹系统(HQ-22),无,2017年7月30日庆祝亮相,中国,暂无介绍,暂无介绍
红旗-6防空导弹（HQ-6A）,无,暂无介绍,中国,暂无介绍,暂无介绍
东风-17高超音速中短程弹道导弹,无,暂无介绍,中国,导弹射程在1800~2500公里，东风-17具备全天候、无依托、强突防等特点，可以数倍于音速的速度作规避动作,暂无介绍
东风-26中程弹道导弹,“关岛杀手”,2015年9月3日庆祝反亮相,中国,发射重量20吨，最大射程5000千米左右,该导弹长约14米，直径1.4米，发射重量20吨，可携带1枚1200至1800千克的单弹头或3枚分导弹头，最大射程5000千米左右，主要用于替代东风4型弹道导弹
猎鹰-60防空导弹,无,暂无介绍,未知,所以各设备均采用自行轮式车辆装载，其主要任务是射击飞行速度在600米/秒以内、高度12千米以下的多批次、多方位入侵的空中目标,暂无介绍
“高里”-1弹道导弹,无,1998年仿制,巴基斯坦,最大射程1700千米,暂无介绍
东风-21号（DF-21）中程地地战略导弹,无,1985年5月20日试射,中国,暂无介绍,暂无介绍
中国C-802型短程导弹,无,暂无介绍,中国,暂无介绍,暂无介绍
S-500导弹系统,无,2020年列装,俄罗斯,能够拦截高超音速飞行器,暂无介绍
道尔-M1地空导弹武器系统,无,暂无介绍,未知,暂无介绍,它可在低空、超低空和近程区域内拦截多种非隐身与隐身空袭目标，如固定翼飞机、直升机、无人机以及巡航导弹、空地导弹、反辐射导弹、精确制导炸弹等，主要用于保护陆地作战部队和一些重要目标免遭敌人空袭
S300防空导弹,无,暂无介绍,苏联,暂无介绍,暂无介绍
铁穹防空导弹系统,无,2011年4月7日,以色列,主要用于拦截“喀秋莎”和“卡桑”等射程在5至70公里内的火箭弹,“铁穹”（Iron Dome）防御系统是以色列国有军工企业拉斐尔国防系统公司研发的全天候、机动型火箭拦截系统，主要用于拦截“喀秋莎”和“卡桑”等射程在5至70公里内的火箭弹
天兵防空系统,无,1975年合作研发加入,瑞士,暂无介绍,暂无介绍
东风-31弹道导弹（DF-31）,无,1986年开始研发,中国,在体积、打击精度、生存性能和突防能力等方面均有明显突破,暂无介绍
俄罗斯“圆点”地对地战术导弹,无,暂无介绍,未知,导弹采用惯性制导， 射程14-120公里，战斗全重15吨， 导弹采用惯性制导,暂无介绍
俄罗斯“飞毛腿B”地对地战术导弹,无,暂无介绍,美国,暂无介绍,暂无介绍
女子东风15战术导弹攻击队,无,暂无介绍,未知,暂无介绍,暂无介绍
烈火-3弹道导弹,无,1960年代开始研制1970年代研发四号,印度,印度自行研发的射程为3500公里的中程地对地弹道导弹，能够携带重达1.5吨的核弹头,暂无介绍
普里特维-2型导弹,无,暂无介绍,未知,暂无介绍,暂无介绍
萨姆-2防空导弹,Guideline,1953年开始研制,苏联,该导弹采用二级组成,导弹战斗部威力很大，主要用于对付远程高空轰炸机和侦察机
蛙式3型地对地导弹,无,暂无介绍,苏联,暂无介绍,暂无介绍
中国东风-2型导弹,无,1965年,中国,暂无介绍,暂无介绍
朝鲜弹道导弹技术,无,2017年11月29日宣布成功试射,朝鲜,暂无介绍,暂无介绍
东风15C地地导弹,无,2007年采用制导制导,未知,该型导弹采用末段雷达制导或红外成像制导，导弹的射程得到提高，导弹的精度成倍提高，该型导弹采用末段雷达制导或红外成像制导，导弹的射程和得到提高，导弹的精度成倍提高，圆概率误差是衡量导弹命中精度的一个尺度)值在15至20米之间,暂无介绍
东风-16弹道导弹(DF-16),无,2015年9月3日庆祝,中国,在弹道导弹的射程上填补了东风-15和 东风-21的空白, 东风-16中程弹道导弹是一种单级固体弹道导弹，是目前中国装备中近程弹道导弹最新式导弹，用于打击中近程范围的重要目标
俄罗斯“悬崖”洲际弹道导弹,无,１９６５年开始装备,俄罗斯,暂无介绍,暂无介绍
俄罗斯圣甲虫地地战术弹道导弹,无,１９７６年开始装备,苏联,暂无介绍,暂无介绍
SS-N-6弹道导弹,无,暂无介绍,苏联,暂无介绍,暂无介绍
WU14导弹,无,2014年1月8月进行,中国,暂无介绍,暂无介绍
俄罗斯白杨导弹,RS-12M1,暂无介绍,俄罗斯,射程超过1万公里，它飞行速度快，具有很强的突防能力,暂无介绍
海弗·达什II空空导弹,无,暂无介绍,美国,暂无介绍,暂无介绍
制导炸弹,无,暂无介绍,未知,轰炸精度高,炸弹从载机上投下后，在重力和舵面操纵力的作用下滑翔到目标点
钻地弹,侵彻战斗部,1999年5月8日炸毁驻,中国,暂无介绍,钻地弹 是一种对地攻击炸弹，由载体和侵彻战斗部组成，携带钻地弹头(又称侵彻战斗部)，用于对机场跑道、地面加固目标及地下设施进行攻击
防区外对外导弹,无,暂无介绍,美国,它具有灵活反应、快速攻击的特点，它的射程将达到500千米，命中精度3米，具有隐身特性、很强的抗干扰能力和弹头摧毁能力,暂无介绍
“米卡”空空导弹,无,1979年研制成功超改进发展,法国,暂无介绍,早在1979年马特拉公司研制成功“马特拉”超530D并改进发展“魔术”R550空空导弹时，法国国防部开始考虑发展一种能用于90年代和以后的空空导弹，以对付先进的高机动战斗机、直升机和巡航导弹
H-4空空导弹,无,暂无介绍,英国,该导弹射程达到120公里，射程为60公里,暂无介绍
霹雳-5空空导弹,无,1966年4月开始研制,中国,进入中国空/海军服结构和性能特点 该弹采用鸭式气动外形布局，红外导引头采用压缩空气致冷，具有抗背景辐射干扰的能力，战斗部采用高爆炸药,暂无介绍
AIM-9空空导弹,Sidewinder,1953年1956年7月开始装备,美国,暂无介绍,暂无介绍
霹雳12中距空空导弹,无,2004年打靶,中国,暂无介绍,暂无介绍
AGM-114R9X忍者导弹,“忍者”导弹,暂无介绍,未知,暂无介绍,暂无介绍
“风雷”7号空对地反辐射导弹,无,1976年1977年建议研制,中国,暂无介绍,风雷7号导弹是仿美"百舌鸟"导弹研制的一种全天候空对地反雷达战术导弹，这种导弹可装在歼击机、强击机与轰炸机上，用于对地空导弹制导雷达和高炮阵地雷达等电磁辐射源进行轰击
“云母”中近程空对空导弹,无,1998年2月开始试验面对,法国,马特拉公司遂希望这种导弹能成为法国陆海空三军都能采用的通用导弹,暂无介绍
“尔布斯”15F空舰导弹,无,1981年8月试射,瑞典,暂无介绍,暂无介绍
AIM-9L空空导弹,无,1971年开始改进,美国,暂无介绍,暂无介绍
日本AAM—3空空导弹,无,暂无介绍,日本,暂无介绍,暂无介绍
SD-10中距空空弹,无,暂无介绍,未知,暂无介绍,暂无介绍
R-37远距空对空导弹,无,暂无介绍,俄罗斯,暂无介绍,暂无介绍
苏联AA—11空空导弹,无,1987年开始装备,苏联,暂无介绍,暂无介绍
苏联AA—1空空导弹,“碱”,1956年投入,苏联,最大射程5—7千米，最大速度M数2,暂无介绍
苏联AA—7空空导弹,“尖顶”,暂无介绍,苏联,暂无介绍,暂无介绍
苏联AA—8空空导弹,无,70年代从其看,苏联,从其外形尺寸和发射重量看,暂无介绍
ASM一3型超声速空舰导弹,无,暂无介绍,日本,它的身上还存在许多令人注意的特点,暂无介绍
南非“弯刀”空空导弹,无,暂无介绍,南非,但也采用和参考了以色列“蜻蜓”导弹的某些技术,暂无介绍
神龙空间发射器,无,2010年上天,中国,暂无介绍,暂无介绍
弯刀近程空空导弹,无,暂无介绍,南非,弯刀近程空空导弹的一大特点是可与头盔瞄准具配合使用,暂无介绍
挪威“企鹅”Ⅲ空对舰导弹,无,１９８７年可装载,未知,采用惯导和红外寻的制导,这是一种近程亚音速飞航式反舰导弹，１９８７年装备部队，可装载在飞机和直升机上，用于攻击海上目标
英国“海鹰”空对舰导弹,无,暂无介绍,英国,暂无介绍,暂无介绍
AS·30L,无,暂无介绍,法国,暂无介绍,暂无介绍
幻影4000战斗机,无,1979年3月9日飞,法国,幻影4000战斗机采用半硬壳式结构，是世界上第一架采用全复合材料、内置油箱式垂尾的战斗机,暂无介绍
法国“狂风”战斗轰炸机,无,1974年研制,法国,暂无介绍,暂无介绍
法国ASMP中程空对地导弹,无,暂无介绍,法国,暂无介绍,暂无介绍
韩国攻击机A-50,无,2011年研发超,韩国,暂无介绍,暂无介绍
空对地导弹,无,暂无介绍,德国,暂无介绍,暂无介绍
AIM-9空对空导弹,无,暂无介绍,未知,暂无介绍,暂无介绍
近距空对空导弹IRIS—T,无,暂无介绍,德国,该弹采用三翼面布局，采用推进矢量控制技术，IRIS-T导弹具有高度的灵活性、正负90度的寻的器离轴视角、发射后锁定目标能力、防对抗图像处理能力,暂无介绍
双射程空对空导弹,无,暂无介绍,未知,而正在研究中的双射程空对空导弹则突破了以往不同用途的空对空导弹的限制，这种多用途导弹能够在不增加飞机载弹量的情况下，使得攻击更具有灵活性，双射程空对空导弹将在不久的将来成为空对空导弹的发展方向,而正在研究中的双射程空对空导弹则突破了以往不同用途的空对空导弹的限制，具备了多种作战能力， 在未来空战中，这种多用途导弹能够在不增加飞机载弹量的情况下，提供空战方式的多种选择，使得攻击更具有灵活性
天剑—Ⅰ型空对空导弹,无,暂无介绍,未知,暂无介绍,暂无介绍
天剑二型空对空导弹,无,暂无介绍,美国,暂无介绍,暂无介绍
X-4空对空导弹,无,暂无介绍,德国,希望这种导弹能够使德国飞行员能在盟军轰炸机的机炮射程之外对轰炸机进行攻击,暂无介绍
中距空对空导弹“超”530D,无,暂无介绍,法国,暂无介绍,暂无介绍
地形匹配制导,无,暂无介绍,未知,地形匹配的制导比景象匹配的精度低,暂无介绍
SS-N-21,无,1978年研制,苏联,具有反舰和打击战略目标的双重能力,暂无介绍
X—555战略巡航导弹,无,暂无介绍,未知,暂无介绍,X—555战略巡航导弹，用途实施精确打击
先锋高超音速导弹,无,暂无介绍,俄罗斯,理论射程达上万千米,暂无介绍
X-51A高超音速无人飞行器,无,2012年8月14日试飞,美国,这个计划的终极目标就是要发展一种比美国原武器库中任何一种导弹的速度都要快5倍以上,暂无介绍
MGM-118A“和平卫士”战略弹道导弹,无,暂无介绍,美国,暂无介绍,暂无介绍
雄风-2E“战略”巡航导弹,无,暂无介绍,未知,雄风-2E巡航导弹初期射程500公里，采用火箭/冲压发动机，具有超音速飞行能力,暂无介绍
BGM-109巡航导弹,Tomahawk,1972年5月开始研制,美国,具有短翼，主要的特点是射程远，具有一定的隐身能力，并且体积小，重量轻,BGM-109巡航导弹（英文：BGM-109 Cruise missile，绰号：Tomahawk，译文：战斧），是美国一型通用多用途巡航导弹
3M22锆石高超音速反舰巡航导弹,无,暂无介绍,未知,这型"锆石"反舰导弹在试验中的速度达到了令人匪夷所思的8马赫,暂无介绍
长剑-100超音速巡航导弹,无,暂无介绍,未知,其最大特点是射程远,暂无介绍
鹰击-18反舰巡航导弹（YJ-18）,无,2013年定型,中国,采用亚音速-超音速结合的弹道，具有很高突防概率和命中率,暂无介绍
雄风2E巡航导弹,无,暂无介绍,中国,该巡航导弹具有射程远、威力大、打击突然等特点,暂无介绍
长剑-10/东海-10巡航导弹（CJ-10）,无,暂无介绍,美国,射程远，能够打击有价值的地面目标，“有效射程在1500至2500公里之间,暂无介绍
BLU-114/B“软炸弹”,无,1999年5月摧毁,美国,精度高于电气中转站和高功率 路线,炸弹的目的是关闭电器缩当用于塞尔维亚1999年5月，一组BLU-114炸弹摧毁了该国70%的电网
CBU-94型石墨炸弹,无,暂无介绍,伊拉克,暂无介绍,暂无介绍
RLV-T5可回收火箭,无,2019年8月10日回收,中国,暂无介绍,暂无介绍
中国运载火箭发射记录,无,2018年7月10日进行发射,中国,暂无介绍,暂无介绍
H3运载火箭,无,2020年度实现发射,日本,还可以运载重量为6.5吨的卫星,暂无介绍
船箭塔组合体,无,暂无介绍,未知,暂无介绍,暂无介绍
长征低轨道火箭,无,1965年开始研制,中国,暂无介绍,暂无介绍
长征一号火箭,无,1965年开始研制,中国,暂无介绍,它们都是三级运载火箭，主要用于发射近地轨道小型有效载荷
长征四号运载火箭,无,2016年5月30日搭载发射升空,中国,一、二、三级均采用常规推进剂，具有用途广泛、可靠性高、经济性好等特点, 长征四号甲运载火箭是三级火箭，一、二、三级均采用常规推进剂，主要用于发射太阳同步轨道卫星，目前，长征四号运载火箭是中国长征系列运载火箭中用于发射太阳同步轨道和极低轨道各种应用卫星的主要运载工具，具有用途广泛、可靠性高、经济性好等特点
长征系列运载火箭,无,1965年开始研制,中国,暂无介绍,暂无介绍
长征二号E运载火箭,无,暂无介绍,中国,暂无介绍,长二捆运载火箭主要用于发射近地轨道（LEO）有效载荷，长二捆火箭的研制成功，使我国首次突破了助推器捆绑技术、首次研制成功了推进剂利用系统和大型发射台等36项关键技术，为我国的运载火箭进入国际发射服务市场对提升中国新一代大推力火箭的影响力起到了重要的推动作用
KSLV-Ⅱ韩国运载火箭,无,2009年9月29日表示,韩国,暂无介绍,暂无介绍
制动火箭[火箭发动机],无,暂无介绍,未知,暂无介绍,后来也应用于空投技术装备系统，以实现空投物资的平稳着陆
战神I-X火箭,无,2015年接棒进行载人,美国,暂无介绍,暂无介绍
重型运载火箭,无,2014年提到,美国,火箭全长近百米,暂无介绍
战神1-X,无,2009年10月28日,美国,暂无介绍,暂无介绍
中国KT―1火箭,无,2003年09月16日进行,中国,这枚全固体运载火箭具有可机动发射、操作简单、发射速度快等特点，可用于发射重量为100公斤以下的各种近地轨道小卫星及微小卫星,这枚全固体运载火箭具有可机动发射、操作简单、发射速度快等特点，可用于发射重量为100公斤以下的各种近地轨道小卫星及微小卫星，以满足资源普查、环境监测、科学实验等领域的需要
宇宙神-3B运载火箭,无,1995年开始,美国,对该型火箭的要求是能够将中型及重型卫星发射至地球同步轨道和低层转移地球同步轨道,暂无介绍
宇宙神-2A运载火箭,无,暂无介绍,美国,暂无介绍,暂无介绍
宇宙神-2AS运载火箭,无,1993年12月16日发射,美国,全长47.5米,主要用于发射通信卫星和空间探测器
翔天号,无,暂无介绍,未知,暂无介绍,翔天号模型火箭 2008年绘成图纸，用于模型火箭分阶段测试及个人探空的一款略成熟火箭 五个箭头，喻意空间站的五个可以独立飞行的舱体；
硝酸酯类燃料,无,暂无介绍,未知,暂无介绍,暂无介绍
生物火箭,无,1964年发射返回,中国,暂无介绍,生物火箭是用于生物学研究的探空火箭，生物火箭的任务是将实验生物送到高空，研究实验生物在火箭密封舱内对飞行的适应性，对飞行综合因素作用的忍受能力，研究超重、失重、高空弹射、宇宙辐射等因素对生物机体主要生理功能的影响，为空间生物学研究和载人航天的生活舱和生命保障系统提供设计依据
欧洲宇宙号运载火箭,无,暂无介绍,未知,暂无介绍,暂无介绍
MOMO2,无,2018年6月30日发射失败,日本,暂无介绍,暂无介绍
N号运载火箭,无,暂无介绍,日本,暂无介绍,暂无介绍
离子火箭,无,暂无介绍,未知,暂无介绍,暂无介绍
马克苏斯-8探空火箭,无,2010年3月26日发射,瑞典,暂无介绍,暂无介绍
M-3S运载火箭,无,暂无介绍,日本,暂无介绍,暂无介绍
捆绑式火箭,无,暂无介绍,中国, 中国的长征系列火箭中长征二号E、长征三号B就是具有4个助推器的串联和并 联组合的大推力捆绑式运载火箭,暂无介绍
联盟-FG火箭,无,2007年5月30日携带发射升空,美国,暂无介绍,暂无介绍
猎鹰5号运载火箭,无,暂无介绍,未知,暂无介绍,暂无介绍
锁眼卫星间谍侦察照相卫星,无,暂无介绍,美国,暂无介绍,暂无介绍
水星计划,无,1958年10月7日开始实施,美国,暂无介绍,暂无介绍
SpaceX龙飞船,“天龙号”飞船,2010年12月8日试飞,美国,暂无介绍,暂无介绍
神舟七号载人飞船,无,七号载人2008年9月,中国,暂无介绍,暂无介绍
朱诺号木星探测器,无,2011年8月5日点火升空,美国,暂无介绍,暂无介绍
曼加里安号火星探测器,无,2013年11月5日,印度,暂无介绍,暂无介绍
毅力号火星探测器,无,2020年7月30日升空,美国,暂无介绍,“毅力号”(Perseverance)火星探测器为NASA公布的火星车，由美国的初一学生亚历山大·马瑟命名，用于搜寻火星上过去生命存在的证据
天问一号,无,2020年7月23日,中国,暂无介绍,暂无介绍
先驱者1号,无,1958年10月11日,美国,暂无介绍,暂无介绍
星际边界探测器,无,2012年借助于,美国,暂无介绍,暂无介绍
盖亚[欧洲盖亚探测器],无,2013年12月19日发射升空,未知,暂无介绍,进入太空之后，“盖亚”号将对银河系内的数百万颗恒星进行精确度空前的观测，用于获取有关神秘的暗物质和暗能量的线索
拂晓号金星探测器,无,2004年2月拂晓号开始,日本,暂无介绍,暂无介绍
凤凰号[火星探测器],无,2008年5月25日,美国,暂无介绍,暂无介绍
嫦娥四号探测器,无,2018年5月21日发射,未知,暂无介绍,暂无介绍
勘测者号空间探测器,无,暂无介绍,美国,暂无介绍,暂无介绍
徘徊者3号月球探测器,无,1961年8月1965年,美国,轨道机动姿态指向精度为3°,暂无介绍
空间物理探测卫星,无,暂无介绍,未知,暂无介绍,暂无介绍
月球5C号,无,暂无介绍,苏联,暂无介绍,暂无介绍
月球号,无,1959年1976年发射,苏联,暂无介绍,暂无介绍
探险者35号,无,1967年7月19日发射,美国,暂无介绍,暂无介绍
探险者49号,无,1973年发射,美国,暂无介绍,暂无介绍
MAVEN探测器,无,2013年11月发射,未知,暂无介绍,MAVEN飞船将是人类首颗专门设计用于考察火星高层大气的探测器，预计于2013年11月发射，MAVEN探测器将利用所携8台科学仪器来探测火星上大气层及其与太阳的相互作用，以掌握火星大气在太阳活动背景下的表现
火星2B号,无,1969年3月27日发射,未知,暂无介绍,暂无介绍
月球5号,无,1965年5月9日发射,苏联,暂无介绍,暂无介绍
月球6号,无,1965年6月8日,苏联,暂无介绍,暂无介绍
月球8号,无,1965年12月3日发射,苏联,暂无介绍,暂无介绍
执行撞月使命的探测器,无,2008年10月22日发射,美国,暂无介绍, 印度于2008年10月22日发射了印度首颗月球探测器——月船-1号，11月12日该探测器成功进入绕月飞行的工作轨道，2天后它释放了一个用于撞击月球的月球撞击探测器（MIP），并实现了预定的撞击计划
幽灵一号探测器,无,暂无介绍,未知,能够只刺激所需要的元素，其运行速度为40MIPS,暂无介绍
行星探测器轨道,无,暂无介绍,未知,暂无介绍,暂无介绍
太阳过渡区与日冕探测器,无,1998年4月发射,美国,具有极高的空间和时间分辨本领， TRACE卫星上携带的太阳望远镜口径为30厘米,暂无介绍
晓号金星探测器,无,暂无介绍,日本,“晓”号计划借助能够够捕捉不同波长的仪器在轨道上对整个星体进行观测,暂无介绍
水手1号探测器,无,暂无介绍,美国,暂无介绍,暂无介绍
