weapon,abstract
美国“小猎犬”舰对空导弹,"
	“小猎犬”是美国海军第一个装备的，具有全天候、中程、中低空防空能力的舰对空导弹系统，原用代号为SAM-N-7，后改为RIM-2，它与“黄铜骑士”、“鞑靼人”一起合称美国的“三T”导弹系统。	"
小猎犬BW-0防空导弹,"
	小猎犬BW-0防空导弹是小猎犬防空导弹基本型的改进型，是美国第一代面防御舰对空导弹系统，它是美国海军第一个装备的，具有全天候、中程、中低空防空能力的舰对空导弹系统。	"
小猎犬BW-1防空导弹,"
	小猎犬BW-1防空导弹是小猎犬防空导弹基本型的改进型，是美国第一代面防御舰对空导弹系统.	"
伊万·罗戈夫级两栖舰,"
	伊万·罗戈夫级两栖舰是一艘远洋登陆舰，主要用于以较小的底坡度，运输登陆队员和战斗装备，在敌方布防或非布防的沿岸地带登陆。 它能把作战部队直接运送到岸，把浮游装备运送到沿岸附近的浅水中，借助登陆飘浮装置把非浮游装备运送到岸，也可使用舰载直升机把全副武装的登陆队员机降到滩头阵地。作为一种大型远洋通用登陆舰，能够参加任何距离和规模的登陆战役。	"
英国“海狼”舰对空导弹,"
	这是一种近程、低空快速反应的舰载防空导弹武器系统，主要用来防御各种反舰导弹、飞机等袭目标。	"
中国137“福州”号现代级导弹驱逐舰,"
	137“福州”号(956型)现代级导弹驱逐舰，“ 现代”级驱逐舰准排水量6300 吨 、满载排水量7900 吨具有优良的高速阻力性能有 助于减少舰的升沉，纵摇动。	"
飞腾-2000反辐射地空导弹（FT-2000）,"
	中国自行研制的反辐射地空导弹系统，1998年末中国精密机械进出口公司对外展示。该系统由搜索雷达、导弹、4联装发射车、制导站等组成。导弹采用垂直发射方式，主动雷达寻的制导，弹长6.8米，弹径0.466米，起飞重量1300公斤，射程12-100千米，射高23-20千米，可对电子干扰机和预警机进行远距离攻击。	"
红旗-64地空导弹（HQ-64）,"
	红旗-64防空导弹是中国人民解放军海军装备的一型舰对空防空导弹之一，该导弹出售过巴基斯坦等国家。红旗64(HQ6D)型舰空导弹(猎鹰-60型中低空防空导弹)，陆基、舰载通用型中空防空导弹系统，可拦截各种空中和掠海目标，如战斗轰炸机、轰炸机、导弹和直升机。自动化程序高，抗干扰能力强，可同时处理40个目标，跟踪12个目标、攻击3个目标。	"
红旗-64防空导弹（HQ-64）,"
	红旗-64地空导弹由上海航天技术研究院于上世纪90年代研发，该导弹的研发基于意大利阿莱尼亚公司的“蝮蛇”（Aspide）地对空导弹技术。该型导弹有陆地和海上两种版本，推向国际市场的版本叫做猎鹰-60（LY-60）。该型导弹已经进入解放军空军的防空导弹部队，作为中短程防空导弹服役。	"
“陆盾”2000(LD2000)型近程防空武器系统,"
	陆盾2000（LD-2000）近防炮系统是我国研制的一种新型防空系统，它在2005年2月的第7届阿布扎比国际防务展上首次公开亮相，目前已经广泛装备中国空军，成为我军防空作战的重要装备之一。陆盾2000近防炮系统主要用于机场、指挥中心、交通枢纽等重要目标的末段防御，可以有效拦截空地导弹、巡航导弹以及直升机等低空目标，满足人民解放军“新三打三防”的需求。	"
天龙-50防空导弹,"
	天龙-50防空导弹系统是北方工业公司一款主要面向市场出口的中程防空导弹系统，主要用于防卫地面重要目标免遭空中打击。天龙-50的主要构成是具有3D功能的目标指示雷达，装载弹药的火力分配车、三辆以上六辆以内的导弹发射车，每辆发射车可以携带四枚导弹。这种装备的一个导弹营，可以同时防御12个目标，更能在短短几秒钟内对一个目标发射至少一枚导弹将其摧毁，这性能让西方国家门都不敢大意，美国更是公开表示反对出口此类武器。	"
长剑-100超音速巡航导弹,"
	长剑-100巡航导弹(代号：DF-100)，早期代号为“鹰击-100”，是在长剑10巡航导弹的基础上研制的空射型超远程反舰导弹，又被称为“东风-100”，是世界上第一款可以进行超音速飞行的巡航导弹。其最大特点是射程远，在550至650千米之间，衔接了鹰击62系列和DF-21D系列反舰弹道导弹之前的距离。	"
红旗-22中远程导弹系统(HQ-22),"
	红旗-22防空导弹是中国人民解放军空军的主力大型防空导弹之一，装备于空军部队。
2017年7月30日，红旗-22防空导弹在庆祝中国人民解放军建军90周年阅兵上公开亮相。	"
红旗-6防空导弹（HQ-6A）,"
	红旗-6防空导弹（英文：HQ-6 Anti-aircraft missile）是中国上海航天局（8院）研制的中低空中近程地空导弹武器系统。

其是一款低空拦截的防空导弹，发射营部署6部发射车、1部搜索雷达、3部跟踪雷达，搜索雷达探测距离为50公里，可同时跟踪60个空中目标。HQ-6防空导弹（红旗6号导弹）武器系统是上海航天局（8院）研制的中低空中近程地空导弹武器系统，从79年开始方案论证至今已有20多个年头了，前后经历了两代（红旗63和红旗64）。	"
东风-17高超音速中短程弹道导弹,"
	东风-17是在东风-16基础上改进的中国第一型高超声速导弹，导弹射程在1800~2500公里，于中华人民共和国70周年国庆阅兵首次亮相。东风-17具备全天候、无依托、强突防等特点，可以数倍于音速的速度作规避动作，飞行过程中可以转换攻击目标，突破反导弹拦截系统，投放核武器，对中近程目标实施精确打击。	"
东风-26中程弹道导弹,"
	东风-26弹道导弹（代号：DF-26，绰号“关岛杀手”）是中国航天科技集团研制的核常兼备中远程固体燃料弹道导弹，拥有对陆上重要目标或海上大中型舰船实施远程打击的能力，是继东风-21D后世界现役第二种大型中远程反舰弹道导弹，覆盖关岛甚至迭戈加西亚群岛，有“关岛快递””“关岛杀手”之称。
该导弹长约14米，直径1.4米，发射重量20吨，可携带1枚1200至1800千克的单弹头或3枚分导弹头，最大射程5000千米左右，主要用于替代东风4型弹道导弹。

东风-26弹道导弹在2015年9月3日庆祝中国人民抗战胜利暨世界反法西斯战争胜利70周年阅兵上首次亮相。
2017年，建军90周年朱日和阅兵中也有参与受阅。
2019年10月，东风-26导弹第三次在阅兵中现身。	"
猎鹰-60防空导弹,"
	""猎鹰""－60导弹武器系统由导弹、地面作战系统和维护系统组成。其中导弹是杀伤武器。地面作战系统是由直接参与作战的设备组成，主要功用是探测、跟踪目标、指挥作战、对导弹装定参数并引导导弹杀伤目标等。维护系统是武器的后勤保障系统，主要功用是为导弹和地面作战设备提供后勤保障。由于武器系统兼顾要地防空和野战防空，所以各设备均采用自行轮式车辆装载。其主要任务是射击飞行速度在600米/秒以内、高度12千米以下的多批次、多方位入侵的空中目标，比如可以对付直升机、战斗机等，像空地导弹、巡航导弹也可以拦截。	"
“高里”-1弹道导弹,"
	又名“哈塔夫”，是巴基斯坦在1998年成功仿制朝鲜“劳动”型弹道导弹，定名为“高里”。最大射程1700千米，可携带常规高爆弹头、生化弹头和核弹头。	"
东风-21号（DF-21）中程地地战略导弹,"
	东风-21号（DF-21）中程地地战略导弹 中国在巨浪-1号潜地导弹基础上发展的第二代中程地地战略导弹。 1985年5月20日试射成功，1989年定型。	"
中国C-802型短程导弹,"
	中国C-802型短程导弹，是专门用来打击海面大中型舰艇的反舰导弹。该导弹除了装备中国海军以外，还大量出口到世界其他国家，作为专用的短程反舰导弹，它的性能和世界上流行的“飞鱼”、“鱼叉”等处于同样的水平。	"
S-500导弹系统,"
	S-500导弹系统，是俄罗斯第五代高空反导系统，属于中段反导系统，具备类似美国THAAD的大气层外拦截能力，能够拦截高超音速飞行器。据称该导弹系统将在2020年前列装。	"
道尔-M1地空导弹武器系统,"
	一种全天候、机动式、单车自动化野战地空导弹武器系统。它可在低空、超低空和近程区域内拦截多种非隐身与隐身空袭目标，如固定翼飞机、直升机、无人机以及巡航导弹、空地导弹、反辐射导弹、精确制导炸弹等，主要用于保护陆地作战部队和一些重要目标免遭敌人空袭。	"
S300防空导弹,"
	S300防空导弹隶属于前苏联国土防空军的主力第三代防空导弹之一，该防空导弹后来出售给中国大陆、白俄罗斯、土耳其等国家。	"
铁穹防空导弹系统,"
	“铁穹”（Iron Dome）防御系统是以色列国有军工企业拉斐尔国防系统公司研发的全天候、机动型火箭拦截系统，主要用于拦截“喀秋莎”和“卡桑”等射程在5至70公里内的火箭弹。整个系统由发射、雷达、操控和监测等装置组成，可自动探测来袭火箭弹并发射导弹在空中进行拦截。“铁穹”防御系统2011年4月7日下午在南部城市阿什凯隆上空击落一枚发射自加沙地带的火箭弹。这是该系统4月初部署以来首次成功拦截火箭弹。2012年11月7日，“铁穹”火箭弹拦截系统又成功拦截一枚火箭弹，在过去3天内，以军遭737枚火箭弹袭击，245枚由“铁穹”拦截。	"
天兵防空系统,"
	天兵防空系统（Skyguard System）为1966年瑞士奥立岗公司所研发的雷达射控快炮系统，1975年再与美国Teledyne公司合作研发陆射型麻雀导弹加入，形成弹炮合一防空系统。	"
东风-31弹道导弹（DF-31）,"
	东风-31弹道导弹是中国人民解放军火箭军装备的一型陆基远程弹道导弹，是中国首型固体燃料远程弹道导弹，也是中国第二代战略导弹。 东风-31弹道导弹应用了许多新技术，在体积、打击精度、生存性能和突防能力等方面均有明显突破。 东风-31弹道导弹1986年开始研发，1999年8月2日试射成功，1999年10月1日在中国国庆50周年阅兵式上出现，2006年9月服役。2009年10月1日，东风-31导弹A型参加了中国国庆60周年阅兵；2015年9月3日，东风-31导弹A型在中国反法西斯战争胜利70周年阅兵上再度亮相；2017年7月30日，新型的东风-31导弹AG型在中国庆祝中国人民解放军成立90周年的大型阅兵式上出现。
            	"
俄罗斯“圆点”地对地战术导弹,"
	导弹采用惯性制导，单级固体火箭发动机，配备核弹头(当量10千吨或100千吨)和常规弹头(榴弹、反装甲子母弹、杀伤子母弹和钻地弹)。 射程14-120公里，弹长6.2米，弹径650毫米，弹重1500公斤，常规弹头重250公斤，圆公算偏差220米，战斗全重15吨。 导弹采用惯性制导，单级固体火箭发动机，配备核弹头（当量10千吨或100千吨）和常规弹头（榴弹、反装甲子母弹、杀伤子母弹和钻地弹）。	"
俄罗斯“飞毛腿B”地对地战术导弹,"
	""“飞毛腿B”(北约的叫法，美国的SS-1C	"
女子东风15战术导弹攻击队,"
	女子东风15战术导弹攻击队，是二炮组建第一代女子东风15战术导弹攻击队。	"
烈火-3弹道导弹,"
	烈火-3，印度自行研发的射程为3500公里的中程地对地弹道导弹，能够携带重达1.5吨的核弹头。其火箭发动机技术水平大约相当于中国1960年代开始研制、1970年代研发成功的东风四号。印度报业托拉斯报道称，“烈火-3”型导弹可以覆盖包括北京、上海在内的大部分亚洲地区。
            	"
普里特维-2型导弹,"
	自主研发的 特维 导弹1988	"
萨姆-2防空导弹,"
	萨姆-2防空导弹（英文：SA-2 Surface-to-Air Missile ，绰号：Guideline，译文：盖德蓝，苏联编号：С-75 ），是苏联20世纪50年代研制的第一代中、高空全天候防空导弹。该导弹采用二级组成，正常气动布局，固体推进剂。导弹战斗部威力很大，主要用于对付远程高空轰炸机和侦察机。萨姆-2防空导弹1953年开始研制，1957年装备苏联部队。后进行多次改型，共有A～F6种型号。该导弹系统外销东欧、亚洲、中东等27个国家。近年逐步被萨姆-10（C-300）所取代。	"
蛙式3型地对地导弹,"
	由苏联五十年代研制，由美国称为frog。	"
中国东风-2型导弹,"
	中国东风-2型导弹，是我国第一种正式装备部队的弹道导弹。东风-2型是一种机动发射、单级、使用液体燃料、弹头的弹道导弹，首发试验于1965年。	"
朝鲜弹道导弹技术,"
	朝鲜自二战后独立以来坚持以“主体思想”为指导的独立自主的国防战略，很早就开展核武器和弹道导弹的研究。朝鲜的核武器研制甚至可以追溯到20世纪50年代，而弹道导弹的研制也可以上溯到20世纪60年代。金正日执政后，实行了“先军政治”战略，弹道导弹的研究与开发被放到了突出位置。2017年11月29日，朝鲜宣布成功试射了新开发的“火星－15”型洲际弹道导弹。	"
东风15C地地导弹,"
	该导弹是东风15系列的最新型号，最早曝光是在2007年左右，该型导弹采用末段雷达制导或红外成像制导，导弹的射程得到提高，大致估计在700公里左右，导弹的精度成倍提高，CEP值在15至20米之间。 这种导弹是东风15系列的最新型号，最早曝光是在2007年左右，一些消息人士指出，该型导弹采用末段雷达制导或红外成像制导，导弹的射程和得到提高，大致估计在700公里左右，导弹的精度成倍提高，CEP(circular error probable，圆概率误差是衡量导弹命中精度的一个尺度)值在15至20米之间。	"
东风-16弹道导弹(DF-16),"
	东风-16中程弹道导弹(代号： DF-16，英文： DF-16 Ballistic Missile，北约代号： CSS-11 )，是 中国一种单级固体弹道导弹。东风-16继承了东风-11的成熟技术，在弹道导弹的射程上填补了东风-15和 东风-21的空白，与之前的东风-15、东风-11近程弹道导弹和东风-21中程弹道导弹构成了中国的常规弹道导弹体系 。 东风-16中程弹道导弹是一种单级固体弹道导弹，是目前中国装备中近程弹道导弹最新式导弹，用于打击中近程范围的重要目标。 2015年9月3日庆祝中国人民抗战胜利70周年大阅兵首次光相。
            	"
俄罗斯“悬崖”洲际弹道导弹,"
	俄罗斯“悬崖”洲际弹道导弹，于１９６５年开始装备前苏联部队，弹道导弹精准，威力惊人，曾名噪一时。	"
俄罗斯圣甲虫地地战术弹道导弹,"
	这是介于第二和第三代之间的地对地战术导弹，１９７６年开始装备前苏联部队。	"
SS-N-6弹道导弹,"
	SS-N-6弹道导弹是前苏联研制的单级液体火箭潜射弹道导弹，北约代号SS-N-6 索弗莱（Sawfly），性能相当美国北极星导弹几种早期型号。	"
WU14导弹,"
	WU14导弹是中国军方研制的一种10倍音速的高超音速导弹。该导弹在2014年1月和8月两次进行了试射。	"
俄罗斯白杨导弹,"
	白杨-M洲际弹道导弹(俄语：РТ-2ПМ2 «Тополь-М» ，北约代号SS-27 ""镰刀 B""，又称RS-12M1, RS-12M2, RT-2PM2)，是俄罗斯的一种洲际弹道导弹，可携带多枚分导弹头，射程超过1万公里。它飞行速度快，并能作变轨机动飞行，具有很强的突防能力。 这种导弹是在白杨(北约代SS-25)的基础上研发出来的。
            	"
海弗·达什II空空导弹,"
	海弗·达什II空空导弹是美国空军研发的一种导弹，海弗·达什II计划据称在测试飞行之后就被终止了（大约在1992/93年左右）。没有关于该阶段试验是否成功的情况。	"
制导炸弹,"
	制导炸弹，全称航空制导炸弹，指能自动导向的航空炸弹，是一类固定的点目标近距空中支援武器。炸弹从载机上投下后，在重力和舵面操纵力的作用下滑翔到目标点。轰炸精度高，但易受干扰。按制导装置不同，分激光制导炸弹、电视制导炸弹、红外制导炸弹等。	"
钻地弹,"
	钻地弹 是一种对地攻击炸弹，由载体和侵彻战斗部组成，携带钻地弹头(又称侵彻战斗部)，用于对机场跑道、地面加固目标及地下设施进行攻击。1999年5月8日，炸毁中国驻南联盟大使馆的“杰达姆”（JDAM）炸弹就是一种钻地弹。	"
防区外对外导弹,"
	防区外导弹将成为军事大国21世纪占优势的主导武器装备。它具有灵活反应、快速攻击的特点，它的射程将达到500千米，命中精度3米，具有隐身特性、很强的抗干扰能力和弹头摧毁能力。并将出现灵巧小型防区外导弹。这类武器中美国处于领先地位，西欧发达国家及俄罗斯也在加紧研制。	"
“米卡”空空导弹,"
	“米卡”(MICA)系“拦截与空战导弹”(Missile dInterception et de Combat Aerien)，是马特拉公司80年代自行研制并装备部队使用的第四代空空导弹，以取代“马特拉”超530F/D中距拦射导弹和R550“魔术”2近距格斗导弹。早在1979年马特拉公司研制成功“马特拉”超530D并改进发展“魔术”R550空空导弹时，法国国防部开始考虑发展一种能用于90年代和以后的空空导弹，以对付先进的高机动战斗机、直升机和巡航导弹。	"
H-4空空导弹,"
	英国《防御系统日报》报道，在南非方面的帮助下，长年因资金和政治原因而饱受装备老化之苦的巴基斯坦空军终于第一次获得比潜在对手更强大的武器——H-4超视距空空导弹，该导弹射程达到120公里，战斗机在这样的距离上发起攻击，几乎可不用担心遭到报复，从而提高了飞机的生存能力。H-4还衍生出轻型H-2导弹，射程为60公里，也可超视距攻击目标。	"
霹雳-5空空导弹,"
	该弹是中国自行设计制造的第三种空空导弹，分为半主动雷达制导型和被动红外型，名称和代号分别为“霹雳”5甲(PL-5A)和“霹雳”5乙(PL-5B)，主要研制单位为航空工业部所属第六一二所（现为洛阳光电技术发展中心）。半主动雷达型于1966年4月开始研制首批样弹，1971年7月开始首次载飞试验，1972年9月进行空中模拟弹发射试验，1981年4月研制第二批样弹研制，同年8月开始进行空中靶试，直到1982年3月结束发射试验，1983年在航空工业型号调整中停止研制生产。被动红外型于1966年4月开始研制首批样弹，1967年初开始首批地面和空中载飞试验，随后经过多批样弹研制和各种地面和空中发射试验，因受国内形势影响直到1986年9月才通过国家定型委员会审查，获准设计定型并投入批生产，进入中国空/海军服结构和性能特点 该弹采用鸭式气动外形布局，由制导控制组件、战斗部、红外近炸引信或无线电近炸引信、固体火箭发动机、鸭式舵面和三角形弹翼组成。红外导引头采用压缩空气致冷，灵敏度高，具有抗背景辐射干扰的能力。战斗部采用高爆炸药，有杀伤破片型和连续杆型，前者配用红外近炸引信，后者配用无线电近炸引信。这两种类型的战斗部及其近炸引信，可以互换使用。战斗部有效杀伤半径10m。红外近炸引信的抗干扰能力强，起爆可靠性高。该弹的最大脱靶量9m	"
AIM-9空空导弹,"
	AIM-9空空导弹（英文：AIM-9 air to air missile，绰号：Sidewinder，译文：响尾蛇），是20世纪50年代美国研制的一型近距红外制导空对空导弹，是全世界第一种投入实战并有击落飞机纪录的空对空导弹。AIM-9空空导弹是第一种以红外线作为引导方式设计的空对空导弹，配备高爆弹头和主动红外制导系统，共有10多种改进型。AIM-9空空导弹由美国美国雷锡恩公司研发，1953年原型试射成功，1956年7月开始装备，使用单位遍及美国四大军种，外销数量与使用国家众多，是世界上产量最大的空对空导弹之一，其也是在实战中广泛使用的少数导弹之一，参与过越南战争、1982年马岛冲突和海湾战争等。	"
霹雳12中距空空导弹,"
	霹雳-12空空导弹（PL-12，外贸型号称为SD-10/闪电-10），是中国研制的新一代中距空空导弹，可在雷达导引下进行视距外攻击。在2004年的定型前打靶试验中，霹12取得了12发12中的好成绩。2005年底霹雳12在双目标攻击试验中双发齐中，创造了中国空空导弹研制史上又一个崭新的里程碑。	"
AGM-114R9X忍者导弹,"
	“忍者”导弹AGM-114R9X是一款改进型“地狱火”导弹，由美军无人机MQ-9 Reapers携带发射。美军这款秘密武器绰号“忍

者”导弹，正式名称为AGM-114R9X，其弹头不是像普通导弹那样装填炸药，而是装备了六枚折叠刀片，可以击穿建筑物和车

辆，“切碎”打击目标。	"
“风雷”7号空对地反辐射导弹,"
	风雷7号衍生自霹雳-4，是中国第一种反辐射导弹，风雷意为风暴。风雷7号导弹是仿美""百舌鸟""导弹研制的一种全天候空对地反雷达战术导弹，这种导弹可装在歼击机、强击机与轰炸机上，用于对地空导弹制导雷达和高炮阵地雷达等电磁辐射源进行轰击。1976年和1977年，空军司令部两次向国防科工委建议研制这种导弹。
            	"
“云母”中近程空对空导弹,"
	据称，“云母”导弹原是法国马特拉公司专为空军的“幻影”2000战斗机而研制的中近程空对空导弹，但后因订货不足，马特拉公司遂希望这种导弹能成为法国陆海空三军都能采用的通用导弹。于是，从1998年2月起，就开始试验面对空型导弹。1999年5月20日,法国在停泊在南部地中海的科西嘉岛附近的军舰上，成功地试射了一枚“云母”防空导弹，其截击目标的能力达到预定要求。法国陆军采购的“云母”车载型导弹，从2000年起与美制“霍克”导弹(法军现有“霍克”防空导弹中队16个，装备48部发射架和196枚导弹)就混合部署在法意边境地区。



	"
“尔布斯”15F空舰导弹,"
	发展的第一个反舰导弹型号是舰舰型，代号为RBS15M，是在第一代反舰导弹RB04的基础上改进发展的，1981年8月首次全弹鉴定试射，1983年开始投产，1984年6月开始进入瑞典皇家海军舰队服役。 以RBS15M舰舰型为基本型，于1982年开始改进发展机载型，代号为RBS15F，1986年首次在AJ37战斗机上进行发射试验，1989年开始进入瑞典皇家空军装备AJ37战斗机。 1985年底开始改进发展岸舰型——RBS15KA，取代老式的RB-08。	"
AIM-9L空空导弹,"
	该型号由美国海/空军于1971年开始联合改进，1977年投产，1978年服役，1986年停产，美国、日本和欧洲共生产16000枚以上。美国海/空军联合改进该弹，是为了提高导弹的通用性。“响尾蛇”系列从基本型AIM-9B开始，分为海军和空军两个型号系列，即海军的AIM-9C/D/G/H和空军的AIM-9E/J/N/P。这些型号处于同一性能水平，但海/空军不能互换使用，关键在发射架不通用，海军型发射架上装有致冷氮气瓶，空军型发射架不带氮气瓶，这也是区分两个系列的标志。	"
日本AAM—3空空导弹,"
	AAM—3是日本为替换AIM一9L“超级响尾蛇”而独立研制的一款小型近距格斗导弹。	"
SD-10中距空空弹,"
	SD-10中距空空弹是主动雷达制弹，跻身世界豪门。	"
R-37远距空对空导弹,"
	R—37 是俄罗斯威姆佩尔设计局研制的一种远距空对空导弹。该弹的外形与R—33(AA—9)“阿摩司”有些相似，尺寸也差不多，二者之间显然有一定的继承关系。
            	"
苏联AA—11空空导弹,"
	苏联AA—11空空导弹是前苏联80年代研制成功的一种先进的红外格斗导弹，北约国家称其为“射手”AA-ll。该弹于1987年开始装备部队，可挂载在米格-21、米格-23、米格-29、苏-27等飞机上，能在昼间和夜间对作机动飞行的飞机和巡航导弹实施攻击。	"
苏联AA—1空空导弹,"
	苏联AA—1空空导弹是前苏联自行研制的第一种空对空导弹是1956年投入批量生产的K—5(军用型号PC—2y)。西方给这种雷达制导的导弹取名为AA—l，绰号“碱”。该导弹长1.88米，弹径0.178米，舵翼翼展0.32米，弹翼翼展0.58米，弹重82千克，战斗部重13千克，最大射程5—7千米，最大速度M数2，使用高度16千米左右。	"
苏联AA—7空空导弹,"
	苏联AA—7空空导弹由前苏联于60年代中期研制，70年代中期装备部队的R—23空对空导弹是米格—33战斗机的标准拦射武器，该弹的北约编号为AA—7，绰号“尖顶”。罗马尼亚曾专利仿制生产，代号为 A—911。R—23的导引头也有半主动雷达和红外制导两种。后来的改进型称之为R—24，但R—24在外形上并没有太多的变化。	"
苏联AA—8空空导弹,"
	苏联AA—8空空导弹“蚜虫”是西方国家给 R—60空对空导弹起的编号和绰号。R—60是前苏联70年代中期的产品，从其外形尺寸和发射重量看，它堪称是世界上战斗机使用的最小的空对空导弹。	"
ASM一3型超声速空舰导弹,"
	ASM-3超音速飞航导弹在日本过去公布的各种武器开发计划中从来没有被提到过。换句话说，ASM-3是一款日本秘密研制的武器。而从公布的资料上看，它的身上还存在许多令人注意的特点。
            	"
南非“弯刀”空空导弹,"
	南非“弯刀”空空导弹，“弯刀”(V-3B)是由南非阿姆斯科公司研制的一种红外制导的近距格斗导弹。该弹是在法国R550“魔术”导弹的基础上研制的，但也采用和参考了以色列“蜻蜓”导弹的某些技术。	"
神龙空间发射器,"
	神龙空间发射器，中国神龙有翼空间发射器可能在2010年上天，该发射器可以挂载在轰炸机上，可以作为反卫星武器使用，秘密飞到最佳发射地点，被称为“神龙”的可由轰炸机挂载的空间发射器更被美国专家视为威胁其卫星安全的利器。	"
弯刀近程空空导弹,"
	弯刀近程空空导弹（V-3B）是由南非阿姆斯科公司研制的一种红外制导的近距格斗导弹。弯刀近程空空导弹的一大特点是可与头盔瞄准具配合使用，飞行员借助头盔瞄准具捕获目标。	"
挪威“企鹅”Ⅲ空对舰导弹,"
	这是一种近程亚音速飞航式反舰导弹，１９８７年装备部队，可装载在飞机和直升机上，用于攻击海上目标。采用惯导和红外寻的制导，可在敌舰防空火力区外发射。	"
英国“海鹰”空对舰导弹,"
	英国“海鹰”空对舰导弹是一种安装在飞行及舰载直升机上的亚音中程掠海飞行的反舰导弹，击破威力巨大，是现代武器的经典。	"
AS·30L,"
	AS·30L是法国航空航天公司和汤姆逊．CSF公司在AS·30的基础上联合研制的一种激光制导的空对地导弹，其目的是克服无线电指令制导的AS·30导弹对载机机动所强加的限制。	"
幻影4000战斗机,"
	幻影4000战斗机是法国达索公司独立开发的双发重型制空战斗机，1979年3月9日首飞，在试飞期间，幻影4000显示出来的性能完全能与F-15匹敌。幻影4000战斗机采用半硬壳式结构，门型制动片位于机身两侧进气口，机翼前缘上方；机身、舵、升降副翼、机翼、垂直尾翼、固定前翼都广泛运用了硼和碳纤维复合材料；是世界上第一架采用全复合材料、内置油箱式垂尾的战斗机。	"
法国“狂风”战斗轰炸机,"
	法国“狂风”战斗轰炸机是英、德、意三国1974年联合研制的双座可变后掠翼战斗轰炸机。	"
法国ASMP中程空对地导弹,"
	ASMP巡航导弹是法国研制的一种战略和战术两用空对地巡航导弹，是法国宇航为法国军队开发的一种空射型巡航导弹，是法国核打击力量的一部分。“阿斯姆普”(ASMP)是“中距空地导弹”(Ab-Sol Moyenne Portee)的法文缩写的音译。装备法空军的“幻影”4P和“幻影”2000N轰炸机及海军的“超军旗”战斗轰炸机，用来攻击严密设防的地面战略和战术目标及海上大型目标。	"
韩国攻击机A-50,"
	韩国空军计划于2011年装备韩自主研发的A-50超音速轻型攻击机。 将总计部署约60架以取代现有的A-37攻击机。 韩国空军计划于2011年装备韩自主研发的A-50超音速轻型攻击机。	"
空对地导弹,"
	空对地导弹指从空中平台发射，攻击地面目标的导弹。二次世界大战期间，德国将V-1导弹装在飞机上发射，从而使其成为现代空对地导弹的先驱。	"
AIM-9空对空导弹,"
	AIM-9空对空导弹ＡＩＭ－９型导弹为圆柱形弹体，配有防滚动的后尾翼，弹头后还配有可拆卸的双三角形控制面，这样可大大改善导弹的机动性。 红外制导弹头能使导弹自动追寻敌机尾气。 战斗机飞行员发射红外自动寻的导弹后，在导弹飞向敌机的瞬间，飞行员可逃离作战区域或采取躲避行动。	"
近距空对空导弹IRIS—T,"
	近距空对空导弹IRIS—T是由德国BGT公司为主承包商研制的一种新型红外制导的近距格斗空对空导弹。该弹采用三翼面布局，除了前后备有4个小弹翼外，其中部装有4片扁长梯形弹翼。采用推进矢量控制技术，IRIS-T导弹具有高度的灵活性、正负90度的寻的器离轴视角、发射后锁定目标能力、防对抗图像处理能力。	"
双射程空对空导弹,"
	而正在研究中的双射程空对空导弹则突破了以往不同用途的空对空导弹的限制，具备了多种作战能力。 在未来空战中，这种多用途导弹能够在不增加飞机载弹量的情况下，提供空战方式的多种选择，使得攻击更具有灵活性。 因此，不少专家都认为，双射程空对空导弹将在不久的将来成为空对空导弹的发展方向。	"
天剑—Ⅰ型空对空导弹,"
	天剑—Ⅰ型空对空导弹是台湾中山科学院研制的近程空对空导弹。	"
